ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
PABE,medium_airport,Bethel Airport,"-161.8379974, 60.77980042",126,NA,US,US-AK,Bethel,PABE,BET,BET
PABG,small_airport,Beluga Airport,"-151.0440063, 61.17219925",130,NA,US,US-AK,Beluga,PABG,BVU,BLG
PABI,medium_airport,Allen Army Airfield,"-145.7220001, 63.99449921",1291,NA,US,US-AK,Delta Junction Ft Greely,PABI,BIG,BIG
PABL,medium_airport,Buckland Airport,"-161.1490021, 65.9815979",31,NA,US,US-AK,Buckland,PABL,BKC,BVK
PABM,small_airport,Big Mountain Airport,"-155.2590027, 59.36119843",663,NA,US,US-AK,Big Mountain,PABM,BMX,37AK
PABP,small_airport,Badami Airport,"-147.0299988, 70.13749695",26,NA,US,US-AK,Deadhorse,PABP,,AK78
PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,"-156.7660065, 71.28540039",44,NA,US,US-AK,Barrow,PABR,BRW,BRW
PABT,medium_airport,Bettles Airport,"-151.529007, 66.91390228",647,NA,US,US-AK,Bettles,PABT,BTT,BTT
PABU,small_airport,Bullen Point Air Force Station Airport,"-146.8359985, 70.17279816",18,NA,US,US-AK,Kaktovik,PABU,,8AK7
PABV,medium_airport,Birchwood Airport,"-149.5070038, 61.41650009",83,NA,US,US-AK,Birchwood,PABV,,BCV
PACD,medium_airport,Cold Bay Airport,"-162.7250061, 55.20610046",96,NA,US,US-AK,Cold Bay,PACD,CDB,CDB
PACE,small_airport,Central Airport,"-144.7830048, 65.57379913",937,NA,US,US-AK,Central,PACE,CEM,CEM
PACI,small_airport,Chalkyitsik Airport,"-143.7400055, 66.64499664",544,NA,US,US-AK,Chalkyitsik,PACI,CIK,CIK
PACK,small_airport,Chefornak Airport,"-164.2859955, 60.14920044",40,NA,US,US-AK,Chefornak,PACK,CYF,CFK
PACL,medium_airport,Clear Airport,"-149.1199951, 64.30120087",552,NA,US,US-AK,Clear,PACL,,CLF
PACM,medium_airport,Scammon Bay Airport,"-165.5709991, 61.84529877",14,NA,US,US-AK,Scammon Bay,PACM,SCM,SCM
PACR,small_airport,Circle City /New/ Airport,"-144.076004, 65.83049774",613,NA,US,US-AK,Circle,PACR,IRC,CRC
PACS,small_airport,Cape Sarichef Airport,"-164.9140015, 54.58240128",291,NA,US,US-AK,Cape Sarichef,PACS,,26AK
PACV,medium_airport,Merle K (Mudhole) Smith Airport,"-145.4779968, 60.4917984",54,NA,US,US-AK,Cordova,PACV,CDV,CDV
PACX,small_airport,Coldfoot Airport,"-150.2039948, 67.25219727",1042,NA,US,US-AK,Coldfoot,PACX,CXF,CXF
PACY,small_airport,Yakataga Airport,"-142.4929962, 60.08200073",12,NA,US,US-AK,Yakataga,PACY,CYT,CYT
PACZ,medium_airport,Cape Romanzof LRRS Airport,"-166.0390015, 61.78030014",464,NA,US,US-AK,Cape Romanzof,PACZ,CZF,CZF
PADE,medium_airport,Deering Airport,"-162.7660065, 66.06960297",21,NA,US,US-AK,Deering,PADE,DRG,DEE
PADG,small_airport,Red Dog Airport,"-162.8990021, 68.03209686",969,NA,US,US-AK,Red Dog,PADG,RDB,DGG
PADK,medium_airport,Adak Airport,"-176.6459961, 51.87799835",18,NA,US,US-AK,Adak Island,PADK,ADK,ADK
PADL,medium_airport,Dillingham Airport,"-158.5050049, 59.04470062",81,NA,US,US-AK,Dillingham,PADL,DLG,DLG
PADM,medium_airport,Marshall Don Hunter Sr Airport,"-162.026001, 61.86429977",103,NA,US,US-AK,Marshall,PADM,,MDM
PADQ,medium_airport,Kodiak Airport,"-152.4940033, 57.75",78,NA,US,US-AK,Kodiak,PADQ,ADQ,ADQ
PADU,medium_airport,Unalaska Airport,"-166.5440063, 53.90010071",22,NA,US,US-AK,Unalaska,PADU,DUT,DUT
PADY,small_airport,Kongiganak Airport,"-162.8809967, 59.96080017",30,NA,US,US-AK,Kongiganak,PADY,KKH,DUY
PAED,medium_airport,Elmendorf Air Force Base,"-149.8070068, 61.25099945",212,NA,US,US-AK,Anchorage,PAED,EDF,EDF
PAEE,small_airport,Eek Airport,"-162.0438843, 60.21367264",12,NA,US,US-AK,Eek,PAEE,EEK,EEK
PAEG,small_airport,Eagle Airport,"-141.151001, 64.77639771",908,NA,US,US-AK,Eagle,PAEG,EAA,EAA
PAEH,medium_airport,Cape Newenham LRRS Airport,"-162.0630035, 58.64640045",541,NA,US,US-AK,Cape Newenham,PAEH,EHM,EHM
PAEI,medium_airport,Eielson Air Force Base,"-147.102005, 64.66570282",547,NA,US,US-AK,Fairbanks,PAEI,EIL,EIL
PAEL,seaplane_base,Elfin Cove Seaplane Base,"-136.3470001, 58.19520187",0,NA,US,US-AK,Elfin Cove,PAEL,ELV,ELV
PAEM,medium_airport,Emmonak Airport,"-164.4909973, 62.78609848",13,NA,US,US-AK,Emmonak,PAEM,EMK,ENM
PAEN,medium_airport,Kenai Municipal Airport,"-151.2449951, 60.57310104",99,NA,US,US-AK,Kenai,PAEN,ENA,ENA
PAEW,small_airport,Newtok Airport,"-164.6410065, 60.93909836",25,NA,US,US-AK,Newtok,PAEW,,EWU
PAFA,large_airport,Fairbanks International Airport,"-147.8560028, 64.81510162",439,NA,US,US-AK,Fairbanks,PAFA,FAI,FAI
PAFB,medium_airport,Ladd AAF Airfield,"-147.6139984, 64.83750153",454,NA,US,US-AK,Fairbanks/Ft Wainwright,PAFB,FBK,FBK
PAFE,medium_airport,Kake Airport,"-133.9100037, 56.96139908",172,NA,US,US-AK,Kake,PAFE,,AFE
PAFK,seaplane_base,Farewell Lake Seaplane Base,"-153.6230011, 62.54249954",1052,NA,US,US-AK,Farewell Lake,PAFK,,FKK
PAFL,small_airport,Tin Creek Airport,"-153.6109924, 62.53160095",1151,NA,US,US-AK,Farewell Lake,PAFL,,TNW
PAFM,medium_airport,Ambler Airport,"-157.8569946, 67.10630035",334,NA,US,US-AK,Ambler,PAFM,ABL,AFM
PAFR,heliport,Bryant Army Heliport,"-149.6529999, 61.26639938",378,NA,US,US-AK,Fort Richardson(Anchorage),PAFR,FRN,FRN
PAFS,small_airport,Nikolai Airport,"-154.3580017, 63.01860046",441,NA,US,US-AK,Nikolai,PAFS,,FSP
PAFV,small_airport,Five Mile Airport,"-149.8399963, 65.92700195",510,NA,US,US-AK,Five Mile,PAFV,FMC,FVM
PAFW,small_airport,Farewell Airport,"-153.8939972, 62.50659943",1535,NA,US,US-AK,Farewell,PAFW,FWL,FWL
PAGA,medium_airport,Edward G. Pitka Sr Airport,"-156.9369965, 64.73619843",153,NA,US,US-AK,Galena,PAGA,GAL,GAL
PAGB,small_airport,Galbraith Lake Airport,"-149.4900055, 68.47969818",2663,NA,US,US-AK,Galbraith Lake,PAGB,GBH,GBH
PAGG,small_airport,Kwigillingok Airport,"-163.1690063, 59.87649918",18,NA,US,US-AK,Kwigillingok,PAGG,,GGV
PAGH,small_airport,Shungnak Airport,"-157.1620026, 66.88809967",197,NA,US,US-AK,Shungnak,PAGH,,SHG
PAGK,medium_airport,Gulkana Airport,"-145.4570007, 62.1548996",1586,NA,US,US-AK,Gulkana,PAGK,GKN,GKN
PAGL,small_airport,Golovin Airport,"-163.0070038, 64.55049896",59,NA,US,US-AK,Golovin,PAGL,GLV,GLV
PAGM,medium_airport,Gambell Airport,"-171.7330017, 63.76679993",27,NA,US,US-AK,Gambell,PAGM,GAM,GAM
PAGN,seaplane_base,Angoon Seaplane Base,"-134.5850067, 57.50360107",,NA,US,US-AK,Angoon,PAGN,AGN,AGN
PAGQ,small_airport,Big Lake Airport,"-149.8139954, 61.53609848",158,NA,US,US-AK,Big Lake,PAGQ,BGQ,BGQ
PAGS,medium_airport,Gustavus Airport,"-135.7070007, 58.4253006",35,NA,US,US-AK,Gustavus,PAGS,GST,GST
PAGT,small_airport,Nightmute Airport,"-164.701004, 60.47100067",4,NA,US,US-AK,Nightmute,PAGT,,IGT
PAGY,small_airport,Skagway Airport,"-135.3159943, 59.46009827",44,NA,US,US-AK,Skagway,PAGY,SGY,SGY
PAHC,medium_airport,Holy Cross Airport,"-159.7749939, 62.18830109",70,NA,US,US-AK,Holy Cross,PAHC,HCR,HCA
PAHL,medium_airport,Huslia Airport,"-156.3509979, 65.69789886",220,NA,US,US-AK,Huslia,PAHL,HSL,HLA
PAHN,medium_airport,Haines Airport,"-135.5240021, 59.24380112",15,NA,US,US-AK,Haines,PAHN,HNS,HNS
PAHO,medium_airport,Homer Airport,"-151.477005, 59.64559937",84,NA,US,US-AK,Homer,PAHO,HOM,HOM
PAHP,medium_airport,Hooper Bay Airport,"-166.1470032, 61.52389908",13,NA,US,US-AK,Hooper Bay,PAHP,HPB,HPB
PAHU,small_airport,Hughes Airport,"-154.2630005, 66.04109955",299,NA,US,US-AK,Hughes,PAHU,HUS,HUS
PAHV,small_airport,Healy River Airport,"-148.9689941, 63.86619949",1263,NA,US,US-AK,Healy,PAHV,,HRR
PAHX,small_airport,Shageluk Airport,"-159.5690002, 62.69229889",79,NA,US,US-AK,Shageluk,PAHX,SHX,SHX
PAHY,seaplane_base,Hydaburg Seaplane Base,"-132.8280029, 55.20629883",,NA,US,US-AK,Hydaburg,PAHY,HYG,HYG
PAI,heliport,Barton Heliport,"-118.4077, 34.2588",960,NA,US,US-CA,Pacoima,PAI,,PAI
PAIG,small_airport,Igiugig Airport,"-155.9019928, 59.32400131",90,NA,US,US-AK,Igiugig,PAIG,IGG,IGG
PAII,medium_airport,Egegik Airport,"-157.375, 58.1855011",92,NA,US,US-AK,Egegik,PAII,EGX,EII
PAIK,medium_airport,Bob Baker Memorial Airport,"-160.4369965, 66.97599792",166,NA,US,US-AK,Kiana,PAIK,IAN,IAN
PAIL,medium_airport,Iliamna Airport,"-154.9109955, 59.75439835",192,NA,US,US-AK,Iliamna,PAIL,ILI,ILI
PAIM,medium_airport,Indian Mountain LRRS Airport,"-153.7039948, 65.99279785",1273,NA,US,US-AK,Utopia Creek,PAIM,UTO,UTO
PAIN,small_airport,McKinley National Park Airport,"-148.9109955, 63.73260117",1720,NA,US,US-AK,McKinley Park,PAIN,MCL,INR
PAIW,small_airport,Wales Airport,"-168.0950012, 65.62259674",22,NA,US,US-AK,Wales,PAIW,WAA,IWK
PAJC,small_airport,Chignik Airport,"-158.3730011, 56.31150055",18,NA,US,US-AK,Chignik,PAJC,,AJC
PAJN,medium_airport,Juneau International Airport,"-134.576004, 58.35499954",21,NA,US,US-AK,Juneau,PAJN,JNU,JNU
PAJV,small_airport,Jonesville Mine Airport,"-148.9279938, 61.73139954",870,NA,US,US-AK,Sutton,PAJV,,JVM
PAJZ,small_airport,Koliganek Airport,"-157.2590027, 59.72660065",269,NA,US,US-AK,Koliganek,PAJZ,KGK,JZZ
PAKD,small_airport,Kodiak Municipal Airport,"-152.3739929, 57.80590057",139,NA,US,US-AK,Kodiak,PAKD,KDK,KDK
PAKF,small_airport,False Pass Airport,"-163.4100037, 54.84740067",20,NA,US,US-AK,False Pass,PAKF,KFP,KFP
PAKH,small_airport,Akhiok Airport,"-154.1829987, 56.93870163",44,NA,US,US-AK,Akhiok,PAKH,AKK,AKK
PAKI,small_airport,Kipnuk Airport,"-164.0310059, 59.93299866",11,NA,US,US-AK,Kipnuk,PAKI,KPN,IIK
PAKK,small_airport,Koyuk Alfred Adams Airport,"-161.154007, 64.9394989",154,NA,US,US-AK,Koyuk,PAKK,KKA,KKA
PAKL,small_airport,Kulik Lake Airport,"-155.1210022, 58.98210144",717,NA,US,US-AK,Kulik Lake,PAKL,LKK,LKK
PAKN,medium_airport,King Salmon Airport,"-156.6490021, 58.67679977",73,NA,US,US-AK,King Salmon,PAKN,AKN,AKN
PAKO,small_airport,Nikolski Air Station,"-168.848999, 52.9416008",77,NA,US,US-AK,Nikolski,PAKO,IKO,IKO
PAKP,medium_airport,Anaktuvuk Pass Airport,"-151.7429962, 68.13359833",2102,NA,US,US-AK,Anaktuvuk Pass,PAKP,AKP,AKP
PAKT,medium_airport,Ketchikan International Airport,"-131.7140045, 55.35559845",89,NA,US,US-AK,Ketchikan,PAKT,KTN,KTN
PAKU,small_airport,Ugnu-Kuparuk Airport,"-149.5980072, 70.33080292",67,NA,US,US-AK,Kuparuk,PAKU,UUK,UBW
PAKV,small_airport,Kaltag Airport,"-158.7409973, 64.31909943",181,NA,US,US-AK,Kaltag,PAKV,KAL,KAL
PAKW,medium_airport,Klawock Airport,"-133.076004, 55.57920074",80,NA,US,US-AK,Klawock,PAKW,KLW,AKW
PAKY,small_airport,Karluk Airport,"-154.4499969, 57.56710052",137,NA,US,US-AK,Karluk,PAKY,KYK,KYK
